BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Male,15-19 years,3126280
Gender and Age Group,Male,20-24 years,3375086
Gender and Age Group,Male,25-29 years,4573533
Gender and Age Group,Male,30-34 years,4545995
Gender and Age Group,Male,35-39 years,5130528
Gender and Age Group,Male,40-44 years,5902061
Gender and Age Group,Male,45-49 years,7214446
Gender and Age Group,Male,50-54 years,9637148
Gender and Age Group,Male,55-59 years,11242257
Gender and Age Group,Male,60-64 years,12635328
Gender and Age Group,Male,65-69 years,15059530
Gender and Age Group,Male,70-74 years,18121025
Gender and Age Group,Male,75-79 years,15540280
Gender and Age Group,Male,80-84 years,13619398
Gender and Age Group,Male,85-89 years,9873165
Gender and Age Group,Male,90-94 years,4585944
Gender and Age Group,Male,95 years or older,1263342
Gender and Age Group,Female,0 years,750
Gender and Age Group,Female,01-04 years,720
Gender and Age Group,Female,05-09 years,520
Gender and Age Group,Female,10-14 years,325
Gender and Age Group,Female,15-19 years,530
Gender and Age Group,Female,20-24 years,1130
Gender and Age Group,Female,25-29 years,2225
Gender and Age Group,Female,30-34 years,3125
Gender and Age Group,Female,35-39 years,2735
Gender and Age Group,Female,40-44 years,1815
Gender and Age Group,Female,45-49 years,1710
Gender and Age Group,Female,50-54 years,1875
Gender and Age Group,Female,55-59 years,1885
Gender and Age Group,Female,60-64 years,1595
Gender and Age Group,Female,65-69 years,1460
Gender and Age Group,Female,70-74 years,1555
Gender and Age Group,Female,75-79 years,1545
Gender and Age Group,Female,80-84 years,1650
Gender and Age Group,Female,85-89 years,1310
Gender and Age Group,Female,90-94 years,815
Gender and Age Group,Female,95 years or older,330
Gender and Age Group,Male,0 years,905
Gender and Age Group,Male,01-04 years,970
Gender and Age Group,Male,05-09 years,660
Gender and Age Group,Male,10-14 years,330
Gender and Age Group,Male,15-19 years,425
Gender and Age Group,Male,20-24 years,735
Gender and Age Group,Male,25-29 years,935
Gender and Age Group,Male,30-34 years,955
Gender and Age Group,Male,35-39 years,1195
Gender and Age Group,Male,40-44 years,1250
Gender and Age Group,Male,45-49 years,1195
Gender and Age Group,Male,50-54 years,1630
Gender and Age Group,Male,55-59 years,1610
Gender and Age Group,Male,60-64 years,1425
Gender and Age Group,Male,65-69 years,1350
Gender and Age Group,Male,70-74 years,1615
Gender and Age Group,Male,75-79 years,1530
Gender and Age Group,Male,80-84 years,1295
Gender and Age Group,Male,85-89 years,1095
Gender and Age Group,Male,90-94 years,470
Gender and Age Group,Male,95 years or older,110
Gender and Age Group,Female,0 years,909051
Gender and Age Group,Female,01-04 years,1123591
Gender and Age Group,Female,05-09 years,814156
Gender and Age Group,Female,10-14 years,624038
Gender and Age Group,Female,15-19 years,1039818
Gender and Age Group,Female,20-24 years,2620557
Gender and Age Group,Female,25-29 years,5347195
Gender and Age Group,Female,30-34 years,7996426
Gender and Age Group,Female,35-39 years,7024951
Gender and Age Group,Female,40-44 years,3526657
Gender and Age Group,Female,45-49 years,2803263
Gender and Age Group,Female,50-54 years,2970673
Gender and Age Group,Female,55-59 years,3351794
Gender and Age Group,Female,60-64 years,3096193
Gender and Age Group,Female,65-69 years,2863117
Gender and Age Group,Female,70-74 years,3249189
Gender and Age Group,Female,75-79 years,3443958
Gender and Age Group,Female,80-84 years,3724172
Gender and Age Group,Female,85-89 years,3287809
Gender and Age Group,Female,90-94 years,1983328
Gender and Age Group,Female,95 years or older,843992
Gender and Age Group,Male,0 years,1221681
Gender and Age Group,Male,01-04 years,1316374
Gender and Age Group,Male,05-09 years,1031419
Gender and Age Group,Male,10-14 years,626069
Gender and Age Group,Male,15-19 years,786162
Gender and Age Group,Male,20-24 years,1151988
Gender and Age Group,Male,25-29 years,1546729
Gender and Age Group,Male,30-34 years,1521018
Gender and Age Group,Male,35-39 years,1723033
Gender and Age Group,Male,40-44 years,1861942
Gender and Age Group,Male,45-49 years,1981482
Gender and Age Group,Male,50-54 years,2996797
Gender and Age Group,Male,55-59 years,2965134
Gender and Age Group,Male,60-64 years,2810841
Gender and Age Group,Male,65-69 years,2766661
Gender and Age Group,Male,70-74 years,3647598
Gender and Age Group,Male,75-79 years,3505902
Gender and Age Group,Male,80-84 years,3119607
Gender and Age Group,Male,85-89 years,2735128
Gender and Age Group,Male,90-94 years,1198238
Gender and Age Group,Male,95 years or older,240717
Gender and Age Group,Female,0 years,10
Gender and Age Group,Female,01-04 years,40
Gender and Age Group,Female,05-09 years,55
Gender and Age Group,Female,10-14 years,120
Gender and Age Group,Female,15-19 years,100
Gender and Age Group,Female,20-24 years,145
Gender and Age Group,Female,25-29 years,125
Gender and Age Group,Female,30-34 years,120
Gender and Age Group,Female,35-39 years,155
Gender and Age Group,Female,40-44 years,170
Gender and Age Group,Female,45-49 years,310
Gender and Age Group,Female,50-54 years,380
Gender and Age Group,Female,55-59 years,525
Gender and Age Group,Female,60-64 years,515
Gender and Age Group,Female,65-69 years,645
Gender and Age Group,Female,70-74 years,720
Gender and Age Group,Female,75-79 years,640
Gender and Age Group,Female,80-84 years,465
Gender and Age Group,Female,85-89 years,230
Gender and Age Group,Female,90-94 years,85
Gender and Age Group,Female,95 years or older,15
Gender and Age Group,Male,0 years,10
Gender and Age Group,Male,01-04 years,25
Gender and Age Group,Male,05-09 years,60
Gender and Age Group,Male,10-14 years,135
Gender and Age Group,Male,15-19 years,140
Gender and Age Group,Male,20-24 years,140
Gender and Age Group,Male,25-29 years,180
Gender and Age Group,Male,30-34 years,185
Gender and Age Group,Male,35-39 years,155
Gender and Age Group,Male,40-44 years,200
Gender and Age Group,Male,45-49 years,245
Gender and Age Group,Male,50-54 years,365
Gender and Age Group,Male,55-59 years,415
Gender and Age Group,Male,60-64 years,485
Gender and Age Group,Male,65-69 years,490
Gender and Age Group,Male,70-74 years,620
Gender and Age Group,Male,75-79 years,390
Gender and Age Group,Male,80-84 years,245
Gender and Age Group,Male,85-89 years,120
Gender and Age Group,Male,90-94 years,30
Gender and Age Group,Female,0 years,15025
Gender and Age Group,Female,01-04 years,131267
Gender and Age Group,Female,05-09 years,207709
Gender and Age Group,Female,10-14 years,679611
Gender and Age Group,Female,15-19 years,512217
Gender and Age Group,Female,20-24 years,562611
Gender and Age Group,Female,25-29 years,381150
Gender and Age Group,Female,30-34 years,411353
Gender and Age Group,Female,35-39 years,552482
Gender and Age Group,Female,40-44 years,660072
Gender and Age Group,Female,45-49 years,938892
Gender and Age Group,Female,50-54 years,1443275
Gender and Age Group,Female,55-59 years,2164881
Gender and Age Group,Female,60-64 years,2250741
Gender and Age Group,Female,65-69 years,2796304
Gender and Age Group,Female,70-74 years,3152840
Gender and Age Group,Female,75-79 years,2924468
Gender and Age Group,Female,80-84 years,1786155
Gender and Age Group,Female,85-89 years,888808
Gender and Age Group,Female,90-94 years,200230
Gender and Age Group,Female,95 years or older,94518
Gender and Age Group,Male,0 years,18696
Gender and Age Group,Male,01-04 years,47323
Gender and Age Group,Male,05-09 years,209685
Gender and Age Group,Male,10-14 years,554447
Gender and Age Group,Male,15-19 years,758959
Gender and Age Group,Male,20-24 years,688777
Gender and Age Group,Male,25-29 years,613413
Gender and Age Group,Male,30-34 years,806856
Gender and Age Group,Male,35-39 years,714798
Gender and Age Group,Male,40-44 years,905826
Gender and Age Group,Male,45-49 years,1075056
Gender and Age Group,Male,50-54 years,1645399
Gender and Age Group,Male,55-59 years,2024000
Gender and Age Group,Male,60-64 years,2535834
Gender and Age Group,Male,65-69 years,2681006
Gender and Age Group,Male,70-74 years,3369247
Gender and Age Group,Male,75-79 years,2418000
Gender and Age Group,Male,80-84 years,1493910
Gender and Age Group,Male,85-89 years,773661
Gender and Age Group,Male,90-94 years,161639
Gender and Age Group,Male,95 years or older,36834
Gender and Age Group,Female,0 years,1985
Gender and Age Group,Female,01-04 years,1185
Gender and Age Group,Female,05-09 years,910
Gender and Age Group,Female,10-14 years,815
Gender and Age Group,Female,15-19 years,1805
Gender and Age Group,Female,20-24 years,4165
Gender and Age Group,Female,25-29 years,5785
Gender and Age Group,Female,30-34 years,5485
Gender and Age Group,Female,35-39 years,3825
Gender and Age Group,Female,40-44 years,2775
Gender and Age Group,Female,45-49 years,3490
Gender and Age Group,Female,50-54 years,4225
Gender and Age Group,Female,55-59 years,4410
Gender and Age Group,Female,60-64 years,4520
Gender and Age Group,Female,65-69 years,5180
Gender and Age Group,Female,70-74 years,6245
Gender and Age Group,Female,75-79 years,5835
Gender and Age Group,Female,80-84 years,5365
Gender and Age Group,Female,85-89 years,4010
Gender and Age Group,Female,90-94 years,2055
Gender and Age Group,Female,95 years or older,630
Gender and Age Group,Male,0 years,2470
Gender and Age Group,Male,01-04 years,1675
Gender and Age Group,Male,05-09 years,1155
Gender and Age Group,Male,10-14 years,795
Gender and Age Group,Male,15-19 years,885
Gender and Age Group,Male,20-24 years,935
Gender and Age Group,Male,25-29 years,1275
Gender and Age Group,Male,30-34 years,1525
Gender and Age Group,Male,35-39 years,1725
Gender and Age Group,Male,40-44 years,2005
Gender and Age Group,Male,45-49 years,2530
Gender and Age Group,Male,50-54 years,3330
Gender and Age Group,Male,55-59 years,4275
Gender and Age Group,Male,60-64 years,4660
Gender and Age Group,Male,65-69 years,5760
Gender and Age Group,Male,70-74 years,6305
Gender and Age Group,Male,75-79 years,6200
Gender and Age Group,Male,80-84 years,4825
Gender and Age Group,Male,85-89 years,3185
Gender and Age Group,Male,90-94 years,1340
Gender and Age Group,Male,95 years or older,295
Gender and Age Group,Female,0 years,2387555
Gender and Age Group,Female,01-04 years,1246545
Gender and Age Group,Female,05-09 years,1138130
Gender and Age Group,Female,10-14 years,1242521
Gender and Age Group,Female,15-19 years,2310734
Gender and Age Group,Female,20-24 years,5401701
Gender and Age Group,Female,25-29 years,8347260
Gender and Age Group,Female,30-34 years,8415923
Gender and Age Group,Female,35-39 years,5728653
Gender and Age Group,Female,40-44 years,4136494
Gender and Age Group,Female,45-49 years,5238065
Gender and Age Group,Female,50-54 years,6394071
Gender and Age Group,Female,55-59 years,7178042
Gender and Age Group,Female,60-64 years,7566353
Gender and Age Group,Female,65-69 years,9422507
Gender and Age Group,Female,70-74 years,11389756
Gender and Age Group,Female,75-79 years,11848716
Gender and Age Group,Female,80-84 years,12117769
Gender and Age Group,Female,85-89 years,9666250
Gender and Age Group,Female,90-94 years,5395246
Gender and Age Group,Female,95 years or older,1717318
Gender and Age Group,Male,0 years,2758497
Gender and Age Group,Male,01-04 years,1503683
Gender and Age Group,Male,05-09 years,1552194
Gender and Age Group,Male,10-14 years,1207673
Gender and Age Group,Male,15-19 years,1451477
Gender and Age Group,Male,20-24 years,1386995
Gender and Age Group,Male,25-29 years,2186154
Gender and Age Group,Male,30-34 years,2275395
Gender and Age Group,Male,35-39 years,2689556
Gender and Age Group,Male,40-44 years,3092226
Gender and Age Group,Male,45-49 years,4548653
Gender and Age Group,Male,50-54 years,6347513
Gender and Age Group,Male,55-59 years,8597292
Gender and Age Group,Male,60-64 years,9667223
Gender and Age Group,Male,65-69 years,11823296
Gender and Age Group,Male,70-74 years,13029736
Gender and Age Group,Male,75-79 years,13976098
Gender and Age Group,Male,80-84 years,10677226
Gender and Age Group,Male,85-89 years,7661968
Gender and Age Group,Male,90-94 years,3422251
Gender and Age Group,Male,95 years or older,712864
Gender and Age Group,Female,0 years,660
Gender and Age Group,Female,01-04 years,740
Gender and Age Group,Female,05-09 years,475
Gender and Age Group,Female,10-14 years,450
Gender and Age Group,Female,15-19 years,790
Gender and Age Group,Female,20-24 years,1100
Gender and Age Group,Female,25-29 years,1620
Gender and Age Group,Female,30-34 years,1600
Gender and Age Group,Female,35-39 years,1260
Gender and Age Group,Female,40-44 years,980
Gender and Age Group,Female,45-49 years,1350
Gender and Age Group,Female,50-54 years,1540
Gender and Age Group,Female,55-59 years,2185
Gender and Age Group,Female,60-64 years,2040
Gender and Age Group,Female,65-69 years,2265
Gender and Age Group,Female,70-74 years,3270
Gender and Age Group,Female,75-79 years,3285
Gender and Age Group,Female,80-84 years,3030
Gender and Age Group,Female,85-89 years,2560
Gender and Age Group,Female,90-94 years,1245
Gender and Age Group,Female,95 years or older,515
Gender and Age Group,Male,0 years,910
Gender and Age Group,Male,01-04 years,980
Gender and Age Group,Male,05-09 years,605
Gender and Age Group,Male,10-14 years,515
Gender and Age Group,Male,15-19 years,365
Gender and Age Group,Male,20-24 years,405
Gender and Age Group,Male,25-29 years,485
Gender and Age Group,Male,30-34 years,590
Gender and Age Group,Male,35-39 years,615
Gender and Age Group,Male,40-44 years,755
Gender and Age Group,Male,45-49 years,975
Gender and Age Group,Male,50-54 years,1345
Gender and Age Group,Male,55-59 years,2170
Gender and Age Group,Male,60-64 years,2100
Gender and Age Group,Male,65-69 years,2750
Gender and Age Group,Male,70-74 years,3735
Gender and Age Group,Male,75-79 years,3660
Gender and Age Group,Male,80-84 years,3080
Gender and Age Group,Male,85-89 years,2355
Gender and Age Group,Male,90-94 years,975
Gender and Age Group,Male,95 years or older,195
Gender and Age Group,Female,0 years,642468
Gender and Age Group,Female,01-04 years,565068
Gender and Age Group,Female,05-09 years,478213
Gender and Age Group,Female,10-14 years,536709
Gender and Age Group,Female,15-19 years,1027390
Gender and Age Group,Female,20-24 years,1622249
Gender and Age Group,Female,25-29 years,2893204
Gender and Age Group,Female,30-34 years,3024816
Gender and Age Group,Female,35-39 years,1976578
Gender and Age Group,Female,40-44 years,1366726
Gender and Age Group,Female,45-49 years,1631108
Gender and Age Group,Female,50-54 years,2175050
Gender and Age Group,Female,55-59 years,2338738
Gender and Age Group,Female,60-64 years,2747660
Gender and Age Group,Female,65-69 years,3298217
Gender and Age Group,Female,70-74 years,4647633
Gender and Age Group,Female,75-79 years,4795560
Gender and Age Group,Female,80-84 years,4802843
Gender and Age Group,Female,85-89 years,4880909
Gender and Age Group,Female,90-94 years,2568765
Gender and Age Group,Female,95 years or older,889374
Gender and Age Group,Male,0 years,975296
Gender and Age Group,Male,01-04 years,746370
Gender and Age Group,Male,05-09 years,593527
